Experiment 1

Temperature_C,Humidity_RH
26.10,53.40
26.10,53.40
26.10,53.40
26.10,53.30
26.20,53.30
26.20,53.30
26.20,53.30
26.20,53.30
26.20,53.20
26.20,53.20
26.20,53.20
26.30,53.00
26.30,53.00
26.30,53.00
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,53.00
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.30,52.90
26.40,52.90
26.40,52.90
26.30,52.80
26.40,52.80
26.30,52.80
26.40,52.80
26.40,52.80
26.40,52.80
26.40,52.80
26.40,52.80
26.40,52.80
26.40,52.70
26.40,52.70
26.40,52.70
26.40,52.70
26.40,52.70
26.40,52.70
26.40,52.60
26.40,52.70
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.50
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.40
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.60
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.50
26.40,52.50
26.40,52.50
26.50,52.40
26.40,52.50
26.40,52.50
26.40,52.50
26.50,52.40
26.40,52.50
26.50,52.40
26.40,52.50
26.50,52.40
26.50,52.40
26.40,52.50
26.50,52.30
26.40,52.40
26.40,52.40
26.50,52.30
26.40,52.40
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.40,52.50
26.40,52.40
26.50,52.30
26.40,52.40
26.40,52.40
26.50,52.30
26.40,52.40
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.40,52.40
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.40
26.50,52.30
26.50,52.30
26.50,52.40
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.40
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.30
26.50,52.20
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.30
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.10
26.50,52.20
26.50,52.10
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.10
26.50,52.10
26.50,52.20
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.00
26.50,52.00
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.20
26.50,52.10
26.50,52.20
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.10
26.50,52.00
26.50,52.10
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00
26.50,51.90
26.50,51.90
26.50,51.90
26.50,51.80
26.50,51.80
26.50,51.80
26.50,51.70
26.50,51.80
26.50,51.80
26.50,51.80
26.50,51.90
26.50,51.90
26.50,51.90
26.50,51.90
26.50,52.00
26.50,51.90
26.50,51.90
26.50,51.90
26.50,51.90
26.50,52.00
26.50,52.00
26.50,52.00
26.50,52.00

