Temperature_C,Humidity_RH
25.80,53.40
25.90,53.40
25.90,53.30
25.90,53.40
26.00,53.30
26.00,53.30
26.00,53.20
26.00,53.20
26.00,53.20
26.00,53.20
26.10,53.10
26.10,53.10
26.10,53.10
26.10,53.10
26.10,53.10
26.10,53.00
26.20,53.00
26.20,53.00
26.20,53.00
26.20,53.00
26.20,52.90
26.20,52.90
26.20,52.90
26.20,52.90
26.20,52.80
26.20,52.80
26.20,52.80
26.20,52.80
26.30,52.70
26.30,52.70
26.30,52.70
26.30,52.60
26.30,52.60
26.30,52.70
26.30,52.60
26.30,52.60
26.30,52.60
26.30,52.50
26.30,52.50
26.30,52.50
26.30,52.60
26.30,52.50
26.30,52.60
26.30,52.50
26.30,52.50
26.30,52.50
26.30,52.50
26.40,52.50
26.30,52.50
26.30,52.50
26.30,52.50
26.40,52.50
26.30,52.50
26.40,52.50
26.30,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.50
26.40,52.50
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.60
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.40
26.40,52.60
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.50
26.40,52.40
26.40,52.40
26.40,52.40
26.40,52.50
26.50,53.40
26.40,54.50
26.50,55.50
26.50,56.20
26.50,56.80
26.50,57.60
26.50,58.20
26.60,58.80
26.60,59.20
26.60,59.70
26.60,60.30
26.60,61.00
26.60,61.40
26.70,62.10
26.70,62.60
26.70,62.90
26.70,63.30
26.70,63.40
26.70,63.60
26.70,63.70
26.70,63.60
26.70,63.60
26.70,63.60
26.80,63.50
26.80,63.50
26.80,63.50
26.80,63.50
26.80,63.70
26.80,64.00
26.80,64.30
26.90,64.60
26.90,64.80
26.90,64.80
26.90,64.90
26.90,65.10
26.90,65.30
26.90,65.40
27.00,65.50
27.00,65.70
27.00,65.60
27.00,65.60
27.00,65.60
27.00,65.60
27.00,65.40
27.00,65.40
27.00,65.30
27.00,65.00
27.10,64.60
27.00,64.20
27.00,63.70
27.10,63.20
27.10,62.90
27.10,62.60
27.10,62.20
27.10,61.90
27.10,61.60
27.10,61.40
27.10,61.10
27.10,60.70
27.10,59.80
27.10,59.10
27.10,58.40
27.10,57.90
27.10,57.50
27.10,57.20
27.10,56.80
27.10,56.40
27.10,56.10
27.10,55.80
27.10,55.60
27.10,55.50
27.10,55.40
27.10,55.30
27.10,55.10
27.10,55.00
27.10,54.80
27.10,54.70
27.00,54.70
27.10,54.60
27.00,54.50
27.00,54.30
27.00,54.20
27.00,54.20
27.00,54.10
27.00,54.10
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.10
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
27.00,54.00
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.00
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.10
26.90,54.00
26.90,53.90
26.90,53.90
26.90,53.90
26.90,53.80
26.90,53.80
26.80,53.70
26.90,53.70
26.90,53.60
26.80,53.60
26.80,53.60
26.80,53.60
26.80,53.50
26.80,53.50
26.80,53.50
26.80,53.50
26.80,53.40
26.80,53.30
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.20
26.80,53.30
26.80,53.30
26.80,53.30
26.80,53.30
26.80,53.40
26.80,53.40
26.80,53.40
26.80,53.40
26.80,53.50
26.80,53.50
26.80,53.60
26.80,53.70
26.80,53.60
26.70,53.70
26.70,53.70
26.70,53.60
26.70,53.60
26.70,53.50
26.70,53.50
26.70,53.50
26.70,53.50
26.70,53.50
26.70,53.50
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.40
26.70,53.50
26.70,53.40
26.70,53.40
26.70,53.30
26.70,53.30
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.70,53.20
26.60,53.20
26.70,53.20
26.70,53.20
26.70,53.10
26.70,53.10
26.70,53.20
26.70,53.20
26.70,53.30
26.70,53.40
