Temperature_C,Humidity_RH
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.10,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.10,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,47.90
25.20,48.00
25.20,48.00
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,47.90
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,48.00
25.20,47.90
25.20,47.90
25.20,47.90
25.30,47.80
25.20,47.80
25.20,47.80
25.20,47.80
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.20,47.80
25.20,47.80
25.20,47.80
25.30,47.70
25.30,47.70
25.30,47.60
25.30,47.60
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.20,47.80
25.20,47.80
25.30,47.70
25.30,47.70
25.20,47.80
25.20,47.80
25.20,47.80
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.70
25.30,47.60
25.30,47.60
25.30,47.60
25.30,47.60
25.20,47.60
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.50
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
25.30,47.40
24.70,48.10
24.70,48.00
24.70,48.10
24.70,48.10
24.70,48.00
24.70,48.00
24.80,47.90
24.80,47.90
24.80,47.90
24.80,47.90
24.80,47.80
24.80,47.90
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.80
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.80,47.70
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.90
24.70,47.90
24.70,47.90
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.80
24.70,47.90
24.60,47.80
24.70,47.80
24.60,47.80
24.70,47.90
24.70,47.80
24.70,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
24.60,47.80
