ADC_Value,Classification
2212,FULL
2219,FULL
2213,FULL
2216,FULL
2205,FULL
2200,FULL
2206,FULL
2205,FULL
2202,FULL
2192,FULL
2189,FULL
2198,FULL
2202,FULL
2179,FULL
2191,FULL
2214,FULL
2196,FULL
2192,FULL
2179,FULL
2170,FULL
2181,FULL
2174,FULL
2176,FULL
2147,FULL
2163,FULL
2158,FULL
2153,FULL
2090,FULL
2153,FULL
2124,FULL
2112,FULL
2095,FULL
2087,FULL
2079,HIGH
2064,HIGH
2042,HIGH
1993,MEDIUM
1968,MEDIUM
1962,MEDIUM
1914,MEDIUM
1850,MEDIUM
1796,MEDIUM
1755,MEDIUM
1728,MEDIUM
1675,MEDIUM
1641,MEDIUM
1504,MEDIUM
1471,LOW
1453,LOW
1411,LOW
1302,LOW
1155,LOW
1143,LOW
1094,LOW
1079,LOW
976,LOW
978,LOW
938,LOW
931,LOW
771,LOW
454,EMPTY
386,EMPTY
475,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY
0,EMPTY



